É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/04/05 20:35:48

,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl
îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,,ïΩîNíl(Åé),ïΩîNíl(Åé),,,,,ïΩîNíl(mm),ïΩîNíl(mm),ïΩîNíl(mm),,,,ïΩîNíl(m/s),ïΩîNíl(m/s),,,,ïΩîNíl(Åé),ïΩîNíl(Åé),,,,ïΩîNíl(Åé),ïΩîNíl(Åé)
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ
2025/4/4,11.1,8,1,12.6,8,0.0,0,8,1,5.1,,8,3.1,8,1,,0,16.4,8,1,17.0,8,6.3,8,1,8.7,8
2025/4/5,12.3,8,1,12.8,8,0.0,0,8,1,5.1,,8,3.8,8,1,,0,17.3,8,1,17.2,8,7.9,8,1,8.9,8
2025/4/6,14.9,8,1,12.9,8,0.0,0,8,1,5.1,,8,3.8,8,1,,0,18.3,8,1,17.4,8,12.1,8,1,9.1,8
2025/4/7,13.8,8,1,13.1,8,0.0,0,8,1,5.2,,8,3.1,8,1,,0,17.9,8,1,17.6,8,11.4,8,1,9.2,8
2025/4/8,15.2,8,1,13.3,8,0,1,8,1,5.2,,8,3.4,8,1,,0,20.5,8,1,17.8,8,8.9,8,1,9.4,8
2025/4/9,16.4,8,1,13.5,8,0,1,8,1,5.2,,8,3.3,8,1,,0,22.8,8,1,17.9,8,12.0,8,1,9.6,8
2025/4/10,16.7,8,1,13.6,8,2.0,0,8,1,5.1,,8,3.2,8,1,,0,22.4,8,1,18.1,8,12.8,8,1,9.8,8
